model,metric,value
Decision Tree,mae,1.88
Decision Tree,mae,2.0
Decision Tree,mae,1.26
Decision Tree,mae,1.3125
Decision Tree,mae,1.6875
Decision Tree,mae,1.3541666666666665
Decision Tree,mae,1.7083333333333335
Decision Tree,mae,1.6666666666666665
Decision Tree,mae,1.2708333333333335
Decision Tree,mae,1.2708333333333335
RandForest,rmse,1.3871178753083675
RandForest,rmse,1.9473392103072336
RandForest,rmse,1.4112391717919397
RandForest,rmse,1.130825657060657
RandForest,rmse,1.5906831603643343
RandForest,rmse,1.2744091768345047
RandForest,rmse,1.8261891103241927
RandForest,rmse,1.2940818817473128
RandForest,rmse,1.2815444783541459
RandForest,rmse,1.237795419283817
RandForest,rsq,0.8866259368281699
RandForest,rsq,0.8180696458195293
RandForest,rsq,0.9139731531609271
RandForest,rsq,0.921035953511447
RandForest,rsq,0.8959247122009405
RandForest,rsq,0.9166196281200629
RandForest,rsq,0.835753413850645
RandForest,rsq,0.9140121409264685
RandForest,rsq,0.9164841057296647
RandForest,rsq,0.9255080165838314
RandForest,mae,1.1412
RandForest,mae,1.3662
RandForest,mae,1.0055999999999998
RandForest,mae,0.8708333333333331
RandForest,mae,1.3402083333333332
RandForest,mae,0.9818750000000002
RandForest,mae,1.3533333333333335
RandForest,mae,0.986875
RandForest,mae,1.0089583333333332
RandForest,mae,0.96625
Bagging,rmse,1.4447837208385206
Bagging,rmse,2.0975223479143197
Bagging,rmse,1.9930378822290358
Bagging,rmse,1.2167237429534556
Bagging,rmse,1.897860637665474
Bagging,rmse,1.4527273201350166
Bagging,rmse,1.6540984452766607
Bagging,rmse,1.5720872537277737
Bagging,rmse,1.4260960696951661
Bagging,rmse,1.3008010352599408
Bagging,rsq,0.8754394515517093
Bagging,rsq,0.7765575957450542
Bagging,rsq,0.8118964229690286
Bagging,rsq,0.9091065402381326
Bagging,rsq,0.8499860302032192
Bagging,rsq,0.8921073943229673
Bagging,rsq,0.8651685646502807
Bagging,rsq,0.8782606786847631
Bagging,rsq,0.8969991534323385
Bagging,rsq,0.9183843324622025
Bagging,mae,1.0899999999999999
Bagging,mae,1.5240000000000002
Bagging,mae,1.3619999999999999
Bagging,mae,0.9583333333333335
Bagging,mae,1.4604166666666667
Bagging,mae,1.0541666666666667
Bagging,mae,1.25625
Bagging,mae,1.1062500000000002
Bagging,mae,1.0291666666666668
Bagging,mae,0.9916666666666667
AdaBoost,rmse,1.5799563812209774
AdaBoost,rmse,2.210931289660153
AdaBoost,rmse,1.5858631582123803
AdaBoost,rmse,1.3867837367946971
AdaBoost,rmse,1.8204139958500347
AdaBoost,rmse,1.482194539616833
AdaBoost,rmse,1.869647686959583
AdaBoost,rmse,1.42194740157541
AdaBoost,rmse,1.4320575039723473
AdaBoost,rmse,1.4349489468415504
AdaBoost,rsq,0.8529482827209387
AdaBoost,rsq,0.7613174134266874
AdaBoost,rsq,0.8849654021267975
AdaBoost,rsq,0.8806599341304231
AdaBoost,rsq,0.8613111373855017
AdaBoost,rsq,0.8878161919317571
AdaBoost,rsq,0.8269537139386185
AdaBoost,rsq,0.8990684712079756
AdaBoost,rsq,0.8955273426547672
AdaBoost,rsq,0.8985133747571461
AdaBoost,mae,1.2988325669741583
AdaBoost,mae,1.58924278252216
AdaBoost,mae,1.2186150468078956
AdaBoost,mae,1.1384863342214901
AdaBoost,mae,1.4927269590318066
AdaBoost,mae,1.1263997925814206
AdaBoost,mae,1.4372782069196295
AdaBoost,mae,1.0827524051326136
AdaBoost,mae,1.074795360271235
AdaBoost,mae,1.0907412052287047
GradBoost,rmse,1.495261551618211
GradBoost,rmse,1.987106981285175
GradBoost,rmse,1.651127958276045
GradBoost,rmse,1.184347211665752
GradBoost,rmse,1.6931718959943907
GradBoost,rmse,1.425387867981735
GradBoost,rmse,1.7134970848129423
GradBoost,rmse,1.4018125946743534
GradBoost,rmse,1.3972706216490831
GradBoost,rmse,1.191094389478373
GradBoost,rsq,0.8680526047702029
GradBoost,rsq,0.8055461607281211
GradBoost,rsq,0.8776594756642728
GradBoost,rsq,0.9131431349032937
GradBoost,rsq,0.8810580342071579
GradBoost,rsq,0.8972280373949407
GradBoost,rsq,0.8543806799097702
GradBoost,rsq,0.9020492011280303
GradBoost,rsq,0.9008306142058136
GradBoost,rsq,0.9304317319299167
GradBoost,mae,1.126193283526049
GradBoost,mae,1.4178973091570999
GradBoost,mae,1.1669831569954454
GradBoost,mae,0.9112444648262883
GradBoost,mae,1.3223786117898504
GradBoost,mae,1.0490475997237094
GradBoost,mae,1.3103942273110887
GradBoost,mae,1.0313972717011812
GradBoost,mae,1.0601834208068996
GradBoost,mae,0.867640833849452
SVM,rmse,1.711791022047651
SVM,rmse,2.899711304356031
SVM,rmse,2.320549208922688
SVM,rmse,1.6871062051879422
SVM,rmse,2.5286998369770775
SVM,rmse,1.9936004728428822
SVM,rmse,2.188003312579502
SVM,rmse,2.051509359852264
SVM,rmse,1.9661307793586804
SVM,rmse,2.172761919843785
SVM,rsq,0.8299963498834414
SVM,rsq,0.5569913881363984
SVM,rsq,0.740877741547639
SVM,rsq,0.8246773181580874
SVM,rsq,0.7340650466837091
SVM,rsq,0.7983923999329332
SVM,rsq,0.7628096013291585
SVM,rsq,0.7853631309558629
SVM,rsq,0.8064118206915296
SVM,rsq,0.7754034465789639
SVM,mae,1.3092915677727692
SVM,mae,2.1203299443087866
SVM,mae,1.7911172055710212
SVM,mae,1.2750705218087202
SVM,mae,1.9130671981507734
SVM,mae,1.6089029557154304
SVM,mae,1.7275212006436353
SVM,mae,1.615026629727244
SVM,mae,1.553353722426813
SVM,mae,1.7909263744613542
